"","(Intercept)","Emersion","Population","Salinity","Temperature","Emersion:Population","Emersion:Salinity","Emersion:Temperature","Population:Salinity","Population:Temperature","Salinity:Temperature","Emersion:Population:Salinity","Emersion:Population:Temperature","Emersion:Salinity:Temperature","Population:Salinity:Temperature","Emersion:Population:Salinity:Temperature","df","logLik","AICc","delta","weight"
"880",-0.939081242803352,"+","+","+","+",NA,"+","+",NA,"+","+",NA,NA,NA,NA,NA,24,80.2935967811891,-109.244575177977,10.3286363642461,0.000850735122399689
"576",-0.939081242803351,"+","+","+","+","+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,23,79.1323932399532,-109.19811981324,10.3750917289833,0.000831202247106956
"752",-0.93908124280335,"+","+","+","+",NA,"+","+","+",NA,"+",NA,NA,NA,NA,NA,24,80.2700144084611,-109.197410432521,10.3758011097021,0.000830907479961835
"1024",-0.939081242803351,"+","+","+","+","+","+","+","+","+","+",NA,NA,NA,NA,NA,30,87.2315525342869,-109.193983255543,10.3792282866804,0.000829484865704453
"320",-0.939081242803352,"+","+","+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,25,81.4054296160798,-109.179574315958,10.3936372262646,0.00082353034239359
"48",-0.939081242803351,"+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,74.6169582820719,-109.146004476232,10.4272070659914,0.000809822813301149
"192",-0.939081242803352,"+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,25,81.3662358418483,-109.101186767495,10.4720247747277,0.000791877430492175
"272",-0.939081242803351,"+","+","+","+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,21,76.8059103682763,-109.059334548707,10.5138769935159,0.000775478696026257
"10176",-0.93908124280335,"+","+","+","+","+","+",NA,"+","+","+","+",NA,NA,"+",NA,35,93.1456480163177,-109.049916722291,10.5232948199325,0.000771835618351799
"9103",-0.93908124280335,NA,"+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,"+",NA,27,83.5976333609869,-108.948075710738,10.6251358314852,0.00073351723334234
"496",-0.93908124280335,"+","+","+","+",NA,"+","+","+","+",NA,NA,NA,NA,NA,NA,26,82.2959326115418,-108.65909211384,10.9141194283831,0.000634831299508409
"144",-0.93908124280335,"+","+","+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,21,76.5888553099051,-108.625224431965,10.9479871102583,0.000624171676167167
"976",-0.93908124280335,"+","+","+","+",NA,NA,"+","+","+","+",NA,NA,NA,NA,NA,26,82.2711589705564,-108.609544831869,10.963666710354,0.000619297426566847
"13296",-0.93908124280335,"+","+","+","+",NA,"+","+","+","+","+",NA,NA,"+","+",NA,31,88.0881553416842,-108.539947047005,11.0332644952184,0.000598117223172961
"2944",-0.93908124280335,"+","+","+","+","+","+","+",NA,"+","+",NA,"+",NA,NA,NA,30,86.6672165836126,-108.065311354194,11.507900188029,0.000471759307464119
"1208",-0.93908124280335,"+","+","+",NA,"+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,27,83.0853953634629,-107.92359971569,11.6496118265332,0.000439489178469919
"783",-0.939081242803351,NA,"+","+","+",NA,NA,NA,NA,"+","+",NA,NA,NA,NA,NA,21,76.1665004616157,-107.780514735386,11.7926968068371,0.000409145404178997
"655",-0.939081242803351,NA,"+","+","+",NA,NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,21,75.9901864822343,-107.427886776623,12.1453247655998,0.000343008979087966
"5888",-0.939081242803351,"+","+","+","+","+","+","+","+",NA,"+","+",NA,"+",NA,NA,31,87.4586627456019,-107.28096185484,12.2922496873829,0.000318714004816692
"168",-0.939081242803351,"+","+","+",NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,21,75.9121358077921,-107.271785427739,12.3014261144842,0.000317255026512523
"399",-0.93908124280335,NA,"+","+","+",NA,NA,NA,"+","+",NA,NA,NA,NA,NA,NA,23,78.1573579873134,-107.24804930796,12.325162234263,0.000313512079550025
"2048",-0.93908124280335,"+","+","+","+","+","+","+","+","+","+","+",NA,NA,NA,NA,33,89.8065239461537,-107.201619320879,12.3715922213443,0.000306317730140759
"928",-0.939081242803351,"+","+","+","+","+",NA,NA,"+","+","+",NA,NA,NA,NA,NA,28,83.8652002818332,-107.155752676342,12.4174588658807,0.000299372786614046
"1216",-0.93908124280335,"+","+","+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,28,83.8428493265241,-107.111050765724,12.4621607764989,0.000292755742931593
"4976",-0.939081242803349,"+","+","+","+",NA,"+","+",NA,"+","+",NA,NA,"+",NA,NA,25,80.366132896464,-107.100980876727,12.4722306654962,0.000291285438570803
