Name	Longitude	Latitude	temp_min	temp_min		Temp min	number of presences		Latitude	number of presences	Mean SSTmin
Fucus serratus	-4.592	50.825	7.515036106	7.5							
Fucus serratus	1.564	50.871	5.884473801	5.9							
Fucus serratus	-4.589	50.984	7.376272202	7.4							
Fucus serratus	2.154	51.035	5.37906599	5.4							
Fucus serratus	-4.257	51.065	6.94231987	6.9							
Fucus serratus	1.325	51.07	5.834286213	5.8							
Fucus serratus	-4.596	51.071	7.28950119	7.3							
Fucus serratus	1.191	51.081	5.8659091	5.9							
Fucus serratus	2.656	51.135	4.549993992	4.5							
Fucus serratus	-4.255	51.152	6.90932703	6.9							
Fucus serratus	2.586	51.16	4.724854946	4.7							
Fucus serratus	1.405	51.18	5.699994087	5.7							
Fucus serratus	-3.347	51.196	5.95819521	6.0							
Fucus serratus	-3.179	51.197	5.852451801	5.9							
Fucus serratus	-3.424	51.2	6.030605793	6.0							
Fucus serratus	-3.672	51.207	6.330779076	6.3							
Fucus serratus	-4.04	51.209	6.580352783	6.6							
Fucus serratus	-3.134	51.21	5.852451801	5.9							
Fucus serratus	-3.255	51.23	5.877795219	5.9							
Fucus serratus	-3.837	51.232	6.46844101	6.5							
Fucus serratus	-3.584	51.234	6.272027016	6.3							
Fucus serratus	-4.175	51.236	6.774515152	6.8							
Fucus serratus	1.407	51.331	5.11613512	5.1							
Fucus serratus	1.097	51.374	4.378708839	4.4							
Fucus serratus	1.173	51.375	4.219994068	4.2							
Fucus serratus	-3.006	51.384	5.739470005	5.7							
Fucus serratus	1.314	51.387	4.725115776	4.7							
Fucus serratus	1.404	51.388	4.779994011	4.8							
Fucus serratus	-2.918	51.394	5.728094101	5.7							
Fucus serratus	-9.751	51.406	8.4671278	8.5							
Fucus serratus	-2.846	51.479	5.748044968	5.7							
Fucus serratus	-4.183	51.487	6.403416157	6.4							
Fucus serratus	-8.941	51.487	8.265625	8.3							
Fucus serratus	-9.432	51.503	8.267222404	8.3							
Fucus serratus	-9.673	51.512	8.328454971	8.3							
Fucus serratus	3.986	51.555	3.825867891	3.8							
Fucus serratus	-4.346	51.569	6.378642082	6.4							
Fucus serratus	0.829	51.574	4.166162014	4.2							
Fucus serratus	3.902	51.576	3.767676115	3.8							
Fucus serratus	-4.847	51.584	6.857282162	6.9							
Fucus serratus	-4.922	51.588	6.996553898	7.0							
Fucus serratus	-5.009	51.588	7.048240185	7.0							
Fucus serratus	-9.667	51.597	8.28591156	8.3							
Fucus serratus	0.994	51.621	3.996819973	4.0							
Fucus serratus	-10.096	51.63	8.309993744	8.3							
Fucus serratus	-9.591	51.644	8.149993896	8.1							
Fucus serratus	-5.09	51.654	7.119994164	7.1							
Fucus serratus	-9.754	51.661	8.21935463	8.2							
Fucus serratus	-4.684	51.665	6.568468094	6.6							
Fucus serratus	-9.837	51.67	8.189993858	8.2							
Fucus serratus	3.815	51.676	3.705626965	3.7							
Fucus serratus	-5.175	51.677	7.229178905	7.2							
Fucus serratus	1.166	51.761	3.988754034	4.0							
Fucus serratus	-5.258	51.762	7.274168015	7.3							
Fucus serratus	-10.008	51.771	8.29956913	8.3							
Fucus serratus	-8.001	51.825	7.842264175	7.8							
Fucus serratus	-5.179	51.837	7.248456001	7.2							
Fucus serratus	-5.259	51.837	7.286612988	7.3							
Fucus serratus	1.237	51.846	3.97733593	4.0							
Fucus serratus	1.323	51.854	4.000288963	4.0							
Fucus serratus	-10.341	51.887	8.339992523	8.3							
Fucus serratus	-5.342	51.933	7.399993896	7.4							
